t,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
3.5877297131387302,-0.6565316968953833,5.579791900894044,0.7014898424003613,2.082762033476276,-8.035765464980715,2.9712946352350134,0.5123519077085191,0.006816062535420484,0.1811497893283753,0.8419568442271287,0.1641931900627996,0.9806257622234297,-0.9456140430668234,0,0,0,0,0,0,0.05618847674690249,0.05545161523168708,0.05983771730023395,0.05935076044172607,0,0,0,0,0,0
4.0875879349286475,0.5156082656920896,2.0020446611197293,1.8839290158838073,2.389785417311089,-6.064299542939583,1.6549330815159506,0.5633281109150655,-0.24000242446720918,0.22931305593582443,0.7607558342564463,-0.8439106860629424,0.7771701656734741,-0.17650758451803064,0,0,0,0,0,0,0.07041131306487067,0.046104519985363905,0.019733563584005787,0.10620091146403719,0,0,0,0,0,0
4.089046790809658,0.5190248550279969,1.9934963649737651,1.8864054510749764,2.3882417026909573,-6.0564539416875895,1.6505150002892246,0.5634767201482908,-0.24103887221914946,0.2291096952363955,0.7607574658457674,-0.657338645542504,0.4421701847293491,-0.1738863931235252,0,0,0,0,0,0,0.06067754199952148,0.05505975270195586,0.034516388127463764,0.09422994350402492,0,0,0,0,0,0
4.090505646690669,0.5224395539468899,1.9849563231958136,1.8888753126161932,2.386677145458681,-6.048534968298185,1.6461721977001573,0.5635278228999075,-0.24178149033631116,0.2288024234687812,0.7605441838168348,-0.4881982121553364,0.23624140161261797,-0.17012470955557663,0,0,0,0,0,0,0.05740690646008011,0.0583584255878271,0.048430935688847654,0.08317239287197464,0,0,0,0,0,0
4.09196450257168,0.5258523159356113,1.976424655716542,1.8913386748664274,2.3850800901943447,-6.040508780908279,1.6419598159877005,0.5636271749645264,-0.24237028421337353,0.22849961826144033,0.7603416218518088,-0.3745268873115339,0.12681931460810333,-0.16528188870368166,0,0,0,0,0,0,0.05649476403558094,0.059392256885361316,0.05696648020782058,0.07567749968121704,0,0,0,0,0,0
4.093423358452691,0.5292630953429409,1.9679014799393661,1.8937956519061612,2.383463961182752,-6.032437592122447,1.6377966316206538,0.5637524641684017,-0.24286854173429712,0.22820839963839012,0.7601446483667975,-0.30516720766675315,0.07487724110824696,-0.16002907787273027,0,0,0,0,0,0,0.05653207167567303,0.059501433490400234,0.06117574286590776,0.0715197599679395,0,0,0,0,0,0
4.094882214333702,0.5326718643440597,1.9593868400236898,1.8962462750451181,2.3818363693418614,-6.024356934069194,1.633637118612099,0.5638894811459675,-0.24331638069463143,0.22792810946694333,0.7599514852254251,-0.2622952177386923,0.05062829322211604,-0.15473095838791284,0,0,0,0,0,0,0.05688750096713599,0.05931691001116762,0.06313058974846532,0.0693033242210194,0,0,0,0,0,0
4.096341070214713,0.5360786037032566,1.9508807443749523,1.8986905371047171,2.3802000002506243,-6.016277511637606,1.629468048831821,0.5640307275317263,-0.24373486065397715,0.22765613316295105,0.7597618868592773,-0.23455989722766107,0.03844131321261586,-0.14951546345307476,0,0,0,0,0,0,0.05729730942931479,0.05909907264457719,0.064039737711513,0.06804013001474152,0,0,0,0,0,0
4.097799926095724,0.539483296916274,1.94238318982171,1.901128414140408,2.3785558018534902,-6.008202091627084,1.6252862954911875,0.5641724218791104,-0.24413450992450092,0.22738970068709674,0.7595761796863345,-0.2158387551577011,0.03137494880532253,-0.14443239101528915,0,0,0,0,0,0,0.05766901256444441,0.05893339817621243,0.06446651065698085,0.06722896949528544,0,0,0,0,0,0
4.099258781976735,0.5428859282702866,1.9338941681047381,1.9035598830012395,2.3769041707503464,-6.000131419644606,1.6210912372367423,0.5643126018112472,-0.24452078691048187,0.2271264628664947,0.759394800099208,-0.20283579662054516,0.02660140491778139,-0.13950633787575104,0,0,0,0,0,0,0.057981224726487875,0.05883440900904652,0.0646612294182718,0.06664011910048553,0,0,0,0,0,0
